channelId,name,englishName,affiliation,group,subscriptionCount,videoCount,photo
UCswvd6_YWmd6riRk-8oT-sA,Shiki Miyoshino / 美吉野しき [PRISM Project],Shiki Miyoshino,PRISM,Generation3,118000,270,https://yt3.ggpht.com/g_Atr2SSvap8O_xhC2G4iVcYioLhFntSEgOMzTu1DOsrBKlY6sNbKdTF-MyfqRU1JtMHK389kg=s800-c-k-c0x00ffffff-no-rj
UCw1KNjVqfrJSfcFd6zlcSzA,Nia Suzune / 鈴音にあ [PRISM Project],Nia Suzune,PRISM,Generation3,22200,164,https://yt3.ggpht.com/hCN2h8GkOiScZ108LPu6s9UWXduxjO_RyTbuOhNg_97scolP-7sYpWj_fBBv0VSaNvj9PD3d8g=s800-c-k-c0x00ffffff-no-rj
UC-JSeFfovhNsEhftt1WHMvg,NIJISANJI English Official,NIJISANJI English Official,Nijisanji,Official,380000,360,https://yt3.ggpht.com/ytc/AKedOLTYKTBg4O329mbRm-PjecGAxk5lZqM9GwrUPZzrRg=s800-c-k-c0x00ffffff-no-rj
UCX7YkU9nEeaoZbkVLVajcMg,にじさんじ,Nijisanji,Nijisanji,Official,981000,1115,https://yt3.ggpht.com/ytc/AKedOLSWxXsb2nHf7l5JIOhHr1G_DXAIvBTfZatmsimn=s800-c-k-c0x00ffffff-no-rj
UC8NZiqKx6fsDT3AVcMiVFyA,Tamaki Ch. 犬山たまき / 佃煮のりお,Inuyama Tamaki,Nori Pro,TAMAKI,812000,950,https://yt3.ggpht.com/ccgxjPnCeYO5o6WmTfu6mt9gjWtqF67H3_OpJbjAxPlvbAMIoHxsfLIRNBa-mn-R6rBu8_iLUNY=s800-c-k-c0x00ffffff-no-rj
UCC0i9nECi4Gz7TU63xZwodg,白雪みしろShirayuki Mishiro,Shirayuki Mishiro,Nori Pro,Gen 1,203000,721,https://yt3.ggpht.com/oVW2wPwqDHrRHEbdNbw9NXHW8ogIxId1zcE_9RbJlonWJVNFPOySVGgQIiYAsKy5Cr8r66trrw=s800-c-k-c0x00ffffff-no-rj
UCCXME7oZmXB2VFHJbz5496A,熊谷タクマKumagaya Takuma,Kumagaya Takuma,Nori Pro,Gen 1,56700,56,https://yt3.ggpht.com/zwukbFa_AOmC_C176ce46xel1hxoP7Xbnv6vg3AayenzI8Ia26BTtBM0p0k74NKB1ZYJDAGwFA=s800-c-k-c0x00ffffff-no-rj
UCJCzy0Fyrm0UhIrGQ7tHpjg,愛宮みるくMilk Enomiya,Enomiya Milk,Nori Pro,Gen 1,107000,323,https://yt3.ggpht.com/czgp_vFoedwbEb9eV5rhbJ_QY-OmAdahgB8y12srTmv1XgtxRZ98dIAPuZL-uKuTmCl6mWoKRyE=s800-c-k-c0x00ffffff-no-rj
UCle1cz6rcyH0a-xoMYwLlAg,姫咲ゆずるHimesaki Yuzuru,Himesaki Yuzuru,Nori Pro,Gen 1,81500,217,https://yt3.ggpht.com/RGKeCoXpt-ikhbAarcy4YCFiZdIiJI8i_hRTaycPPPQkiHdTFnGgs-tUAbCEX7GinByICJESIA=s800-c-k-c0x00ffffff-no-rj
UC6oDys1BGgBsIC3WhG1BovQ,Shizuka Rin Official,Shizuka Rin,Nijisanji,Wave 1,351000,1206,https://yt3.ggpht.com/ytc/AKedOLQLFsq0jjRSyn9Jsj75MzYOaDIg-Sm-WJsfe4ImIA=s800-c-k-c0x00ffffff-no-rj
UCD-miitqNY3nyukJ4Fnf4_A,月ノ美兎,Tsukino Mito,Nijisanji,Wave 1,842000,638,https://yt3.ggpht.com/ytc/AKedOLSGyQadwaaYuZy1zy33pdrj0yQLP_WVQziEbUwOJg=s800-c-k-c0x00ffffff-no-rj
UCeK9HFcRZoTrvqcUCtccMoQ,渋谷ハジメのはじめ支部,Shibuya Hajime,Nijisanji,Wave 1,144000,1509,https://yt3.ggpht.com/ytc/AKedOLStFpSZD59ue9THy21ftXyvvYeFRZ-ZgfXzIKiu=s800-c-k-c0x00ffffff-no-rj
UCLO9QDxVL4bnvRRsz6K4bsQ,勇気ちひろ,Yuuki Chihiro,Nijisanji,Wave 1,601000,1169,https://yt3.ggpht.com/ytc/AKedOLTeATN14aTpJw1kpSdBUvcfiiHYVpNjGKnlmlc4=s800-c-k-c0x00ffffff-no-rj
UCpnvhOIJ6BN-vPkYU9ls-Eg,鈴谷アキの陽だまりの庭,Suzuya Aki,Nijisanji,Wave 1,136000,740,https://yt3.ggpht.com/ytc/AKedOLTgMpV9hIQSssAR4WMXuTkz78ManOPHmzfzzH0-=s800-c-k-c0x00ffffff-no-rj
UCsg-YqdqQ-KFF0LNk23BY4A,樋口楓【にじさんじ所属】,Higuchi Kaede,Nijisanji,Wave 1,504000,769,https://yt3.ggpht.com/xGQ_-9VQMpoWBMSPlhx6zdQnOTH6ThIVDD5astbuhC49itMZHVqS6fBh3p4a87TioLBsNeftbA=s800-c-k-c0x00ffffff-no-rj
UCvmppcdYf4HOv-tFQhHHJMA,《にじさんじ所属の女神》モイラ,Moira,Nijisanji,Wave 1,138000,376,https://yt3.ggpht.com/ytc/AKedOLTKBRtfrpYcNOdBNo6aEgFvKw9FV4C14xBBUpDP=s800-c-k-c0x00ffffff-no-rj
UCYKP16oMX9KKPbrNgo_Kgag,える / Elu【にじさんじ】,Elu the Elf,Nijisanji,Wave 1,254000,1193,https://yt3.ggpht.com/26R8XFV99jxPzHJ_2dYD6yXFtU9tEvgoZaMJpEchRoqDX1ds1Jq7DjKrKhkXxvXKnWKdTem_=s800-c-k-c0x00ffffff-no-rj
UC0g1AE0DOjBYnLhkgoRWN1w,本間ひまわり - Himawari Honma -,Honma Himawari,Nijisanji,Gamers,690000,1159,https://yt3.ggpht.com/ytc/AKedOLQFPb_KIoPk1KxGXzAG71u4rKIUFiEzYRN_xeHm=s800-c-k-c0x00ffffff-no-rj
UC_4tXjqecqox5Uc05ncxpxg,椎名唯華 / Shiina Yuika,Shiina Yuika,Nijisanji,Gamers,565000,1057,https://yt3.ggpht.com/ytc/AKedOLSIXjxaKvTQAgBpIwZtdI_Ux_cUEi3wefTTSVZW1w=s800-c-k-c0x00ffffff-no-rj
UC9EjSJ8pvxtvPdxLOElv73w,魔界ノりりむ,Makaino Ririmu,Nijisanji,Gamers,299000,715,https://yt3.ggpht.com/ytc/AKedOLQDXShP1zfgZ4cS6nD8xOl9Okv-nuSMUP0bo0sS6Q=s800-c-k-c0x00ffffff-no-rj
UCBi8YaVyZpiKWN3_Z0dCTfQ,赤羽葉子ちゃんねる,Akabane Youko,Nijisanji,Gamers,169000,211,https://yt3.ggpht.com/ytc/AKedOLT4-WKP_mKHW23LWQCteb55ETHV9nrCk0BvqReMsg=s800-c-k-c0x00ffffff-no-rj
UCoztvTULBYd3WmStqYeoHcA,笹木咲 / Sasaki Saku,Sasaki Saku,Nijisanji,Gamers,714000,717,https://yt3.ggpht.com/ytc/AKedOLROCo1PmTawsl97a7XC_26AwHFaXiyBuYMbE-_S=s800-c-k-c0x00ffffff-no-rj
UCSFCh5NL4qXrAy9u-u2lX3g,Kuzuha Channel,Kuzuha,Nijisanji,Gamers,1240000,1179,https://yt3.ggpht.com/ytc/AKedOLQdFreaB1wZA_USkiSYIxE31NKxJ5LMQVjDCc_RSA=s800-c-k-c0x00ffffff-no-rj
UCspv01oxUFf_MTSipURRhkA,Kanae Channel,Kanae,Nijisanji,Gamers,972000,2444,https://yt3.ggpht.com/dfCsIDvqaK7K1yIzVFGEq5-1cBAdERky6P4qwqcyXFNLVW1cV-rx7J-Gaj6dUSl2ZaRNPdl0gg=s800-c-k-c0x00ffffff-no-rj
UCBAeKqEIugv69Q2GIgcH7oA,逢魔きららOma Kirara,Ouma Kirara,Nori Pro,Gen 2,54900,293,https://yt3.ggpht.com/lCTqT-ZchKn4uPrRgpCmTNt9tGFYuz6gHeEVpDj-DGdPpmDZBpUb1JuLD-j3raCVckWoG-imIXs=s800-c-k-c0x00ffffff-no-rj
UCIRzELGzTVUOARi3Gwf1-yg,看谷にぃあMirutani nia,Mirutani Nia,Nori Pro,Gen 2,37000,250,https://yt3.ggpht.com/MOM3J3gXcKm5-zShIqDizWo0rJLnskA0jPsz0GMJ_zTDAlFcSxdbmAztTqgQxg5u9QCNoFdyiQ=s800-c-k-c0x00ffffff-no-rj
UCLyTXfCZtl7dyhta9Jg3pZg,鬼灯わらべHoozuki Warabe,Hoozuki Warabe,Nori Pro,Gen 2,147000,353,https://yt3.ggpht.com/QUxBOZ26kqXsOt8DpIC36U4J3XGNgqWy2zvZPn7OgMa1f7r3tBT6rXJrDNZdOx29ZShKpbGv=s800-c-k-c0x00ffffff-no-rj
UCxrmkJf_X1Yhte_a4devFzA,胡桃澤ももKurumizawa Momo,Kurumizawa Momo,Nori Pro,Gen 2,50100,300,https://yt3.ggpht.com/FNyYBDP3x5f6VY1CpEkZaXNKGV8pRIQaGuQ_hBRcjJp6UQuYGlymcuB1VtObCP77QoQ-njxx=s800-c-k-c0x00ffffff-no-rj
UC1zFJrfEKvCixhsjNSb1toQ,シスター・クレア -SisterClaire-,Sister Claire,Nijisanji,SEEDS,425000,1919,https://yt3.ggpht.com/ytc/AKedOLRqTF6i5n7IjFe7XalCRAe9_tqUrFQPVcCmdEUcGw=s800-c-k-c0x00ffffff-no-rj
UC3lNFeJiTq6L3UWoz4g1e-A,卯月コウ,Uzuki Kou,Nijisanji,SEEDS,198000,531,https://yt3.ggpht.com/ytc/AKedOLRUZ3Ao9h5tNpWuS6mlttaD4R52HL2VIfv0-_R1=s800-c-k-c0x00ffffff-no-rj
UC53UDnhAAYwvNO7j_2Ju1cQ,ドーラ,Dola,Nijisanji,SEEDS,300000,642,https://yt3.ggpht.com/ytc/AKedOLRRQDzREn_b5dwQhgUlE_x11F9URRexn7FykG7p6Q=s800-c-k-c0x00ffffff-no-rj
UC6TfqY40Xt1Y0J-N18c85qQ,安土桃,Azuchi Momo,Nijisanji,SEEDS,114000,253,https://yt3.ggpht.com/50JCdIpi9B-ZxDaveVfSyKuvRyj8d2DgLe0sMkd_UxuxN-VcGQ54W4M-6T0wXzJV2TdfAeZglSc=s800-c-k-c0x00ffffff-no-rj
UCbc8fwhdUNlqi-J99ISYu4A,ベルモンド・バンデラス,Belmond Banderas,Nijisanji,SEEDS,409000,886,https://yt3.ggpht.com/ytc/AKedOLQYcuU3W0yMzX3JairtbDy-HzWAwKECEbZggVgs=s800-c-k-c0x00ffffff-no-rj
UCfQVs_KuXeNAlGa3fb8rlnQ,桜凛月,Sakura Ritsuki,Nijisanji,SEEDS,209000,1104,https://yt3.ggpht.com/ytc/AKedOLQ6ZoCSbWpfyTYh5QYMCCOn62J-zAuwpfAjgW7E=s800-c-k-c0x00ffffff-no-rj
UChUJbHiTVeGrSkTdBzVfNCQ,ジョー・力一 Joe Rikiichi,Joe Rikiichi,Nijisanji,SEEDS,375000,476,https://yt3.ggpht.com/vU4bFnln7i28MPhPIyCoFZIjhHzsfWEvTImcee1sny8Osi0YNk_XqCnGdJ_x6Wb37h7FoUNKSEQ=s800-c-k-c0x00ffffff-no-rj
UCiSRx1a2k-0tOg-fs6gAolQ,飛鳥ひな【にじさんじ所属】,Asuka Hina,Nijisanji,SEEDS,103000,209,https://yt3.ggpht.com/ytc/AKedOLR0UWVzVKPszUqvRS7xjShmcAcnhcZwg71lVVPodw=s800-c-k-c0x00ffffff-no-rj
UCjlmCrq4TP1I4xguOtJ-31w,でびでび・でびる,Debidebi Debiru,Nijisanji,SEEDS,477000,898,https://yt3.ggpht.com/ytc/AKedOLTWk1sLvA2J8IGxJfcpNiXuwx-jfouD_rRYKJFFpA=s800-c-k-c0x00ffffff-no-rj
UCJubINhCcFXlsBwnHp0wl_g,舞元啓介,Maimoto Keisuke,Nijisanji,SEEDS,366000,554,https://yt3.ggpht.com/ytc/AKedOLRk9YRm27DKXUDasvRqW92Wc3E2csWTA2bKHG9s=s800-c-k-c0x00ffffff-no-rj
UCKMYISTJAQ8xTplUPHiABlA,社築,Yashiro Kizuku,Nijisanji,SEEDS,602000,790,https://yt3.ggpht.com/ytc/AKedOLSntkdxKpfXT8hCxMHMRMAof4q-Rpuf6JaqD9Tp=s800-c-k-c0x00ffffff-no-rj
UCmeyo5pRj_6PXG-CsGUuWWg,黒井しば【にじさんじの犬】,Kuroi Shiba,Nijisanji,SEEDS,185000,389,https://yt3.ggpht.com/ytc/AKedOLRKf9p1esL7DeVqMWITAVJXQknx0jrC9m91Sljl=s800-c-k-c0x00ffffff-no-rj
UCo7TRj3cS-f_1D9ZDmuTsjw,町田ちま【にじさんじ】,Machita Chima,Nijisanji,SEEDS,482000,348,https://yt3.ggpht.com/ytc/AKedOLTpaFhkNBf2kkuap4nxvCUFDUJJAX2LwyGNjgc59w=s800-c-k-c0x00ffffff-no-rj
UCoM_XmK45j504hfUWvN06Qg,成瀬 鳴 / Naruse Naru【にじさんじ】,Naruse Naru,Nijisanji,SEEDS,114000,523,https://yt3.ggpht.com/tvYMThASe8lsOIO-iNeqd-GmUQyyRzriO3ZHymSBLlevj0hGCnSmF2pFJBrivAM0bnSGzRct8w=s800-c-k-c0x00ffffff-no-rj
UCPvGypSgfDkVe7JG2KygK7A,竜胆 尊 / Rindou Mikoto,Rindou Mikoto,Nijisanji,SEEDS,494000,328,https://yt3.ggpht.com/ytc/AKedOLT-kjDjoldXLMpdONL2WstUQgyDTgDQ25QwcAEu=s800-c-k-c0x00ffffff-no-rj
UCRV9d6YCYIMUszK-83TwxVA,轟京子/kyoko todoroki【にじさんじ】,Todoroki Kyoko,Nijisanji,SEEDS,118000,555,https://yt3.ggpht.com/U-cGSPzDv4uks9oaX3DCE0oeRsI_QzwDtwYt-koDk_7deHb4Wzvl5KKzoh2D5xhpsDeE6b7W=s800-c-k-c0x00ffffff-no-rj
UCRWOdwLRsenx2jLaiCAIU4A,雨森小夜,Amemori Sayo,Nijisanji,SEEDS,155000,73,https://yt3.ggpht.com/ytc/AKedOLQbZwSWhuHjTkf4KRiJ8wLmSD1fW21QW70-KDOn=s800-c-k-c0x00ffffff-no-rj
UCryOPk2GZ1meIDt53tL30Tw,鈴木勝 / Suzuki Masaru【にじさんじ】,Suzuki Masaru,Nijisanji,SEEDS,227000,697,https://yt3.ggpht.com/VOjZReuLyJl7lSVk_dH7g-cDeQPZT9lCtRFY8nn4GfgGV9t5qozIdFpzKRst6n-OkQFW2sAev24=s800-c-k-c0x00ffffff-no-rj
UCsFn_ueskBkMCEyzCEqAOvg,花畑チャイカ,Hanabatake Chaika,Nijisanji,SEEDS,365000,597,https://yt3.ggpht.com/ytc/AKedOLSQbbPLkmRgJ4Q74Fc8_JPkIMcPuBPwpPr1S_SD=s800-c-k-c0x00ffffff-no-rj
UCt5-0i4AVHXaWJrL8Wql3mw,緑仙 / Ryushen,Ryushen,Nijisanji,SEEDS,536000,502,https://yt3.ggpht.com/oeFiPfvbizpVTzE5FVOF1fNPFwUvu4CukNEk0PVmyLoIBbNAbtCyuYt1Z1P9cE7XoBBslJlp=s800-c-k-c0x00ffffff-no-rj
UCtAvQ5U0aXyKwm2i4GqFgJg,春崎エアル,Harusaki Air,Nijisanji,SEEDS,103000,244,https://yt3.ggpht.com/ytc/AKedOLTe7w0HoDWBiioPWXDtwy6CAJGoF7OcFpk8JifmCw=s800-c-k-c0x00ffffff-no-rj
UCTIE7LM5X15NVugV7Krp9Hw,夢追翔のJUKE BOX,Yumeoi Kakeru,Nijisanji,SEEDS,279000,590,https://yt3.ggpht.com/ytc/AKedOLS0kuALnck7BwyF1OJ3e3yCNni_m6qBXqYmD77I=s800-c-k-c0x00ffffff-no-rj
UCTi_rzf5QIkXjhJjkbcAdTg,緑仙のゲームちゃんねる,Ryushen (Gaming),Nijisanji,SEEDS,84200,49,https://yt3.ggpht.com/qo2vD1HkSJdMWUIQaxhbPyFGorhzG1bwmE_RRu6iz_-CJFGmZku96iJUsoDbWpVNmwwgs74lUA=s800-c-k-c0x00ffffff-no-rj
UCV5ZZlLjk5MKGg3L0n0vbzw,鷹宮リオン / Rion Takamiya,Takamiya Rion,Nijisanji,SEEDS,441000,1353,https://yt3.ggpht.com/ytc/AKedOLS8TC1gm0w3IaMn18kn41anLQhwuXgYdbF21OWd=s800-c-k-c0x00ffffff-no-rj
UCvzVB-EYuHFXHZrObB8a_Og,矢車りね - Rine Yaguruma -,Yaguruma Rine,Nijisanji,SEEDS,73300,105,https://yt3.ggpht.com/ytc/AKedOLR-6P6Fyb6XZSFOF6PWYOFvpe0L9ozzurBVVucx=s800-c-k-c0x00ffffff-no-rj
UCWz0CSYCxf4MhRKPDm220AQ,【にじさんじ】神田笑一,Kanda Shoichi,Nijisanji,SEEDS,220000,1397,https://yt3.ggpht.com/ytc/AKedOLTI4ttkGOlmy7_ONt9zkWTbAIe7PbjaOpfmes-H=s800-c-k-c0x00ffffff-no-rj
UC48jH1ul-6HOrcSSfoR02fQ,Yuhi Riri Official,Yuuhi Riri,Nijisanji,Wave 2,228000,618,https://yt3.ggpht.com/A5StWULqnF31ZbuUOD5XVuVLMa6mCxWLrhhOA1MPpI1M9CF0HFrjuPY5jx-OUPuvADsFTnkdvw=s800-c-k-c0x00ffffff-no-rj
UCBiqkFJljoxAj10SoP2w2Cg,文野環【にじさんじの野良猫】ふみのたまき,Fumino Tamaki,Nijisanji,Wave 2,320000,451,https://yt3.ggpht.com/ytc/AKedOLSJY-NOEkjMZGbp7tUtMhmkrom7LGmgsljt-Xnv=s800-c-k-c0x00ffffff-no-rj
UC_GCs6GARLxEHxy1w40d6VQ,家長むぎ【にじさんじ所属】,Ienaga Mugi,Nijisanji,Wave 2,167000,165,https://yt3.ggpht.com/JsGHjJ8FllPGOF2DAZ_1_J2dwn156Q-zOQ0tDS6lrakhiyGVIsbiUWEawOgDYYCvqWR3U-ct=s800-c-k-c0x00ffffff-no-rj
UCmUjjW5zF1MMOhYUwwwQv9Q,宇志海いちご,Ushimi Ichigo,Nijisanji,Wave 2,163000,439,https://yt3.ggpht.com/ytc/AKedOLSJkOaldZbfGvTFpelfwDj4-Y94AQlLKzwl9dJ7=s800-c-k-c0x00ffffff-no-rj
UCt0clH12Xk1-Ej5PXKGfdPA,♥️♠️物述有栖♦️♣️,Mononobe Alice,Nijisanji,Wave 2,247000,498,https://yt3.ggpht.com/ytc/AKedOLRA6p4Y7X98R9eomkyXd0_ffp66auHBpV1Du5_Y=s800-c-k-c0x00ffffff-no-rj
UCtpB6Bvhs1Um93ziEDACQ8g,森中花咲,Morinaka Kazaki,Nijisanji,Wave 2,266000,363,https://yt3.ggpht.com/ytc/AKedOLSGLI4zyIISSDVuIc7xUbm-tm5VoOmflk0JcUAQSg=s800-c-k-c0x00ffffff-no-rj
UCUzJ90o1EjqUbk2pBAy0_aw,Gilzaren III Season 2,Gilzaren III,Nijisanji,Wave 2,126000,41,https://yt3.ggpht.com/ytc/AKedOLSzux_xD8od2HcPMMfktjPi9K0gmTb3AiVhFelhNw=s800-c-k-c0x00ffffff-no-rj
UCv1fFr156jc65EMiLbaLImw,剣持刀也,Kenmochi Toya,Nijisanji,Wave 2,605000,365,https://yt3.ggpht.com/x1tY-OBu8vyQlfqX8wFQoxRRjV_73T72p3i14nq0BDiiC2jvJY7r6UiixVc5fPDB9Ur4L9aTRA=s800-c-k-c0x00ffffff-no-rj
UCwokZsOK_uEre70XayaFnzA,鈴鹿詩子 Utako Suzuka,Suzuka Utako,Nijisanji,Wave 2,527000,719,https://yt3.ggpht.com/ZdU0mQTwpOUTW6COr5JZjBb_VLTBShB-yDvR3v0eMz1_MQrQiMYyCk5QYFgM8SJ2lAaRortAHNo=s800-c-k-c0x00ffffff-no-rj
UCXU7YYxy_iQd3ulXyO-zC2w,伏見ガク【にじさんじ所属】,Fushimi Gaku,Nijisanji,Wave 2,213000,511,https://yt3.ggpht.com/ytc/AKedOLRZvEYxjm4fUoVOO7MsxnSxc8Ga6LIO9k3JicyZyQ=s800-c-k-c0x00ffffff-no-rj
UC0WwEfE-jOM2rzjpdfhTzZA,愛園 愛美/Aizono Manami,Aizono Manami,Nijisanji,Wave 2019,171000,502,https://yt3.ggpht.com/DvgBqgxfKUSEdFjGMT63QJlpMHbPGR_o6A8V2fzyfxWLlYcEf9fZqB5uPfP5eCqnKQsId98lug=s800-c-k-c0x00ffffff-no-rj
UC1QgXt46-GEvtNjEC1paHnw,グウェル・オス・ガール / Gwelu Os Gar 【にじさんじ】,Gwelu Os Gar,Nijisanji,Wave 2019,382000,513,https://yt3.ggpht.com/ytc/AKedOLQzg8xJhnA1WC2kOqvtVKl8JWWr1vxk4vv6GkSX6w=s800-c-k-c0x00ffffff-no-rj
UC2OacIzd2UxGHRGhdHl1Rhw,早瀬 走 / Hayase Sou【にじさんじ所属】,Hayase Sou,Nijisanji,Wave 2019,208000,432,https://yt3.ggpht.com/SJjXxi2R2ppUHwCghUPfkxHo9QMwBI_NOooanvCPx4jBoxfBasLoSSQ-0yqMuP1GPd_yNkzw=s800-c-k-c0x00ffffff-no-rj
UC6wvdADTJ88OfIbJYIpAaDA,不破 湊 / Fuwa Minato【にじさんじ】,Fuwa Minato,Nijisanji,Wave 2019,527000,679,https://yt3.ggpht.com/ytc/AKedOLSJp6QW_B1DxnHz2odpGQqrR5AqVWTSOFq3T5yIaQ=s800-c-k-c0x00ffffff-no-rj
UC8C1LLhBhf_E2IBPLSDJXlQ,健屋花那【にじさんじ】KanaSukoya,Sukoya Kana,Nijisanji,Wave 2019,440000,453,https://yt3.ggpht.com/ytc/AKedOLRyH_1fNW-cdKY0CG6TNy0J5lsaKvZQdIVRVp3kYg=s800-c-k-c0x00ffffff-no-rj
UC9V3Y3_uzU5e-usObb6IE1w,星川サラ / Sara Hoshikawa,Hoshikawa Sara,Nijisanji,Wave 2019,743000,718,https://yt3.ggpht.com/ytc/AKedOLT1Dchl2_yYNm-S6gYl30ThM187ZILsQ08Hm0eb=s800-c-k-c0x00ffffff-no-rj
UCb5JxV6vKlYVknoJB8TnyYg,黛 灰 / Kai Mayuzumi【にじさんじ】,Mayuzumi Kai,Nijisanji,Wave 2019,515000,549,https://yt3.ggpht.com/ytc/AKedOLQTn1m3YLY4lXjOSXQh0nDgq-jasIj7rZPbrWFk=s800-c-k-c0x00ffffff-no-rj
UCb6ObE-XGCctO3WrjRZC-cw,ルイス・キャミー,Luis Cammy,Nijisanji,Wave 2019,190000,538,https://yt3.ggpht.com/ytc/AKedOLTTbL4Zvhb82JcPEF09ZcGlbljg27NsYdSP1R_N=s800-c-k-c0x00ffffff-no-rj
UCCVwhI5trmaSxfcze_Ovzfw,夢月ロア🌖Yuzuki Roa,Yuzuki Roa,Nijisanji,Wave 2019,353000,364,https://yt3.ggpht.com/ytc/AKedOLRmPo2h6bbRdNtEHsBdGpl0zthpubIaDXuj_76mew=s800-c-k-c0x00ffffff-no-rj
UCdpUojq0KWZCN9bxXnZwz5w,アルス・アルマル -ars almal- 【にじさんじ】,Ars Almal,Nijisanji,Wave 2019,607000,833,https://yt3.ggpht.com/ytc/AKedOLRHWKX5QF_YNsgxOMWvKbOuArKOoU1hgOtDrNHG=s800-c-k-c0x00ffffff-no-rj
UCerkculBD7YLc_vOGrF7tKg,魔使マオ -matsukai mao-,Matsukai Mao,Nijisanji,Wave 2019,251000,581,https://yt3.ggpht.com/ytc/AKedOLQvLD6AMlhU-WSCW0Orr9CbqRXZJaf0lsxJDEyw=s800-c-k-c0x00ffffff-no-rj
UCeShTCVgZyq2lsBW9QwIJcw,【3年0組】郡道美玲の教室,Gundo Mirei,Nijisanji,Wave 2019,406000,1099,https://yt3.ggpht.com/ytc/AKedOLSdNE-T9cYM194hv2Xfs7jI-mpjsWH2aDOKOr-4tQ=s800-c-k-c0x00ffffff-no-rj
